Feature,LightGBM,RandomForest,XGBoost,SHAP
cause_code,5091,0.24571606912873833,0.17190094,2.2788688103730803
historical_frequency,3784,0.16037738928750084,0.0854243,0.8261001797625961
event_duration,3582,0.0712501452777438,0.023683544,0.2461495145817324
cluster_risk_score,2724,0.06555650454077314,0.055798728,0.24953587149947953
road_closure,2036,0.10301357351300763,0.078210965,0.4549068978844037
road_closure_ratio,1946,0.013927224535729303,0.01100585,0.05463103365453783
dist_from_center,1422,0.015896441226891267,0.007715088,0.026864932457257212
priority_score,1369,0.16659280657584452,0.3181661,2.2818959520184614
police_frequency,1060,0.009949485383757799,0.005002343,0.022996048858832132
location_frequency,1016,0.019509535059345304,0.009797937,0.03921816787058883
hotspot_density,847,0.008414711288080643,0.014037264,0.022689181844788322
minutes_since_midnight,753,0.010808598333330088,0.0031445776,0.04483649331619374
night_ratio,545,0.011011035538635989,0.010937727,0.015643300085964585
avg_cluster_duration,527,0.011735306160984406,0.017002333,0.027301439967883253
peak_hour_ratio,436,0.009026885136656906,0.0049947673,0.012495160949907541
month,432,0.005085823812800925,0.0077315755,0.019930953392675914
planned_ratio,397,0.008208295083401361,0.008647601,0.012945393395353779
recent_cluster_activity,377,0.007437730331874754,0.005705045,0.01842582583364129
weekday,361,0.004785527482789204,0.0032579023,0.01564024084133007
zone_frequency,308,0.0045598983964350555,0.0034917167,0.016594173382841283
hour,256,0.006531004089304803,0.0026952445,0.006894176402641186
cluster_risk_tier,220,0.03295767566040963,0.13914086,0.020795098137950913
junction_frequency,199,0.0036707218368243837,0.004831025,0.013798722982083077
is_night,87,0.0014604466952520664,0.0028937603,0.0057196124212283
is_peak_hour,86,0.00146746703868399,0.0030265315,0.002792137867340629
is_weekend,10,0.0010496985852038259,0.0017563247,0.000894828536453998
