Feature,Mean_SHAP
priority_score,2.2818959520184614
cause_code,2.2788688103730803
historical_frequency,0.8261001797625961
road_closure,0.4549068978844037
cluster_risk_score,0.24953587149947953
event_duration,0.2461495145817324
road_closure_ratio,0.05463103365453783
minutes_since_midnight,0.04483649331619374
location_frequency,0.03921816787058883
avg_cluster_duration,0.027301439967883253
dist_from_center,0.026864932457257212
police_frequency,0.022996048858832132
hotspot_density,0.022689181844788322
cluster_risk_tier,0.020795098137950913
month,0.019930953392675914
recent_cluster_activity,0.01842582583364129
zone_frequency,0.016594173382841283
night_ratio,0.015643300085964585
weekday,0.01564024084133007
junction_frequency,0.013798722982083077
planned_ratio,0.012945393395353779
peak_hour_ratio,0.012495160949907541
hour,0.006894176402641186
is_night,0.0057196124212283
is_peak_hour,0.002792137867340629
is_weekend,0.000894828536453998
